category,city,country,description,image_url,sentiment,title,url
finance,Mumbai,india,"'Value investing has become less relevant in last 5 years'The Demonetisation of 2016, the GST of 2017, the collapse of IL&FS of 2018 and the continued support by the political class of the real estate sector has led to a sharp slowdown in the Indian economy a…","https://img.etimg.com/thumb/msid-76398093,width-1070,height-580,imgsize-146101,overlay-etwealthmutualfunds/photo.jpg",0.051388888888888894,'Value investing has become less relevant in last 5 years',https://economictimes.indiatimes.com/mf/analysis/over-past-5-years-value-investing-has-become-less-relevant-says-ajit-dayal/articleshow/76398015.cms
finance,Mumbai,india,‘The only impact on profitability because of Covid-19 is the higher amount of provisioning’,"https://img.etimg.com/thumb/msid-75995388,width-1070,height-580,imgsize-523978,overlay-etmarkets/photo.jpg",0.125,Expect most customers to start paying once moratorium is lifted: Keki Mistry,https://economictimes.indiatimes.com/markets/expert-view/expect-most-customers-to-start-paying-once-moratorium-is-lifted-keki-mistry/articleshow/75995387.cms
finance,Mumbai,india,"‘With a Rs 3,30,000 crore backlog, the prospects are very much there.’","https://img.etimg.com/thumb/msid-76262360,width-1070,height-580,imgsize-172527,overlay-etmarkets/photo.jpg",0.26,Look at L&T from a long-term view and avoid knee-jerk reactions: CEO,https://economictimes.indiatimes.com/markets/expert-view/look-at-lt-from-a-long-term-view-and-avoid-knee-jerk-reactions-ceo/articleshow/76262354.cms
finance,Mumbai,india,"The Demonetisation of 2016, the GST of 2017, the collapse of IL&FS of 2018 and the continued support by the political class of the real estate sector has led to a sharp slowdown in the Indian economy and a near-freeze of the banking system for over 2 years.","https://img.etimg.com/thumb/msid-76398093,width-1070,height-580,imgsize-146101,overlay-etwealth/photo.jpg",0.025000000000000005,"Over past 5 years, value investing has become less relevant, says Ajit Dayal",https://economictimes.indiatimes.com/mf/analysis/over-past-5-years-value-investing-has-become-less-relevant-says-ajit-dayal/articleshow/76398942.cms
finance,Mumbai,india,"‘With lower oil prices in place, we do not believe we will lose money flying at reduced capacity’","https://img.etimg.com/thumb/msid-75870850,width-1070,height-580,imgsize-196577,overlay-etmarkets/photo.jpg",0.0,Possible to deal with complexity of fares and routes: SpiceJet CMD,https://economictimes.indiatimes.com/markets/expert-view/possible-to-deal-with-complexity-of-fares-and-routes-spicejet-cmd/articleshow/75870799.cms
finance,Mumbai,india,‘A crisis gives Nestle a great opportunity to recalibrate the portfolio.’,"https://img.etimg.com/thumb/msid-76091143,width-1070,height-580,imgsize-285958,overlay-etmarkets/photo.jpg",0.8,Rural India will revive a bit better than urban markets: Nestle CMD,https://economictimes.indiatimes.com/markets/expert-view/rural-india-will-revive-a-bit-better-than-urban-markets-nestle-cmd/articleshow/76091159.cms
finance,Mumbai,india,"The lockdown has so far lead to nothing productive. Whether it's professional or personal, the quarantine fatigue has kicked in.  People across the globe are tired of watching the same news around Coronavirus over and over again.While some are criticising the…",https://im.indiatimes.in/content/2020/May/FBImage-8_5ecd06265558f.jpg,0.1,"While We Watch Our Favourite Shows, Salman Khan Is Giving Us Work Goals From His Panvel Farmhouse",https://www.indiatimes.com/entertainment/celebs/while-we-netflix-chill-amid-lockdown-here-are-9-things-salman-khan-has-created-at-his-panvel-farmhouse-so-far-514158.html
cases,Mumbai,india,"The whole point of the severe lockdown that started on March 25 was to use the period to expand the country’s health infrastructure as needed. Yet here we are more than two months on, with...",https://static.toiimg.com/imagenext/toiblogs/photo/blogs/wp-content/uploads/2018/04/100x100-Quick-Edit-1.png,0.2,Quick Edit: Dangerous to not test the asymptomatic,https://timesofindia.indiatimes.com/blogs/toi-editorials/its-dangerous-to-deny-testing-of-asymptomatic-covid-19-patients/
cases,Mumbai,india,The court noted that the circular issued by the Brihanmumbai Municipal Corporation (BMC) was in consonance with law and the civic agency had all authority and power to designate burial grounds and cemeteries to dispose of bodies of such patients.,"https://img.etimg.com/thumb/msid-75890202,width-1070,height-580,imgsize-205260,overlay-economictimes/photo.jpg",0.0,No evidence to show COVID-19 spreads through corpses: Mumbai HC,https://economictimes.indiatimes.com/industry/healthcare/no-evidence-to-show-covid-19-spreads-through-corpses-mumbai-hc/articleshow/75889720.cms
cases,Mumbai,india,"In every briefing since January on the evolving Covid 19 crisis, the WHO Chief mentions the need for global solidarity to deal with a catastrophe of this nature. National unity and global solidarity remain the...",https://static.toiimg.com/imagenext/toiblogs/photo/blogs/wp-content/uploads/2017/12/Boria-Mazumdar.jpg,0.0,Blog: Amphan tragedy needs more attention,https://timesofindia.indiatimes.com/blogs/flavours-of-kolkata/bengals-amphan-tragedy-needs-more-national-and-global-attention/
cases,Mumbai,india,"As Covid-19 infections started to climb in March, the $147 billion Indian outsourcing industry moved to a work-from-home model for its over 4 million workers across the country. They took permissions from clients for the unprecedented move, shipped desktops a…","https://img.etimg.com/thumb/msid-76180495,width-1070,height-580,imgsize-507753,overlay-economictimes/photo.jpg",0.0,"No rush to return techies to campuses, say IT companies",https://economictimes.indiatimes.com/tech/ites/no-rush-to-return-techies-to-campuses-say-it-companies/articleshow/76180482.cms
cases,Mumbai,india,"In a letter addressing shareholders in the company's annual report, TCS Chairman N Chandrasekaran said technology will play an ""ever-larger role"" in helping businesses adapt to the new normal and differentiate themselves in the post-COVID world.","https://img.etimg.com/thumb/msid-75847517,width-1070,height-580,imgsize-146250,overlay-economictimes/photo.jpg",0.1431818181818182,"TCS well-positioned to weather this storm, take advantage of opportunities in downturn: N Chandrasekaran",https://economictimes.indiatimes.com/tech/ites/tcs-well-positioned-to-weather-this-storm-take-advantage-of-opportunities-in-downturn-n-chandrasekaran/articleshow/75847414.cms
cases,Mumbai,india,"Maharashtra reports highest single-day spike of 178 COVID-19 deaths; Mumbai tally climbs to 59,201  Mumbai Mirror

Maharashtra sees 2,786 new cases in biggest single-day spike; Covid-19 tally tops 1.10 lakh, toll at 4,128  Times Now

<li…","https://static.toiimg.com/photo/imgsize-85723,msid-76392363/76392363.jpg",0.13636363636363635,"Maharashtra reports highest single-day spike of 178 COVID-19 deaths; Mumbai tally climbs to 59,201 - Mumbai Mirror",https://mumbaimirror.indiatimes.com/coronavirus/news/maharashtra-reports-highest-single-day-spike-of-178-covid-19-deaths-mumbai-tally-climbs-to-59201/articleshow/76392400.cms
cases,Mumbai,india,"Mumbai reports 1,442 COVID-19 cases on Thursday; Maharashtra records highest one-day deaths  Mumbai Mirror

Coronavirus on June 4, 9304 cases in 24 hours | Covid19 India  IndianExpressOnline

Coronavirus | Despite 122 fatalities and …","https://static.toiimg.com/photo/imgsize-102609,msid-76200808/76200808.jpg",0.0,"Mumbai reports 1,442 COVID-19 cases on Thursday; Maharashtra records highest one-day deaths - Mumbai Mirror",https://mumbaimirror.indiatimes.com/coronavirus/news/mumbai-reports-1442-covid-19-cases-on-thursday-maharashtra-records-highest-one-day-deaths/articleshow/76200764.cms
cases,Mumbai,india,"ICMR reiterates no community spread in India yet  Economic Times

Covid-19: India not in community transmission stage, says ICMR amid rising cases  Livemint

COVID-19 Tally Nears 2.9 Lakh-mark, India Now 4th Worst-hit Nation, Centre …","https://img.etimg.com/thumb/msid-76322436,width-1070,height-580,imgsize-267054,overlay-economictimes/photo.jpg",0.2,ICMR reiterates no community spread in India yet - Economic Times,https://economictimes.indiatimes.com/news/politics-and-nation/icmr-reiterates-no-community-spread-in-india-yet/articleshow/76322329.cms
cases,Mumbai,india,"How meat was airlifted during lockdownCrossing the hurdles of nationwide lockdown, disrupted supply chain and perils of being in the fresh produce business, meat startups in India come out as winners.","https://img.etimg.com/thumb/msid-75861520,width-1070,height-580,imgsize-732419,overlay-etrise/photo.jpg",0.3,How meat was airlifted during lockdown,https://economictimes.indiatimes.com/small-biz/startups/features/from-airlifting-meat-to-battling-misinformation-how-licious-zappfresh-and-freshtohome-kept-pace-with-online-deliveries-during-lockdown/articleshow/75861342.cms
cases,Mumbai,india,"India brings down test swab price to one-tenthWhile the earbuds typically use cotton and the stick is too small to take throat and nasal swabs, an extender was used to increase the length of the stem and the PSF from Reliance provided lab-approved material fo…","https://img.etimg.com/thumb/msid-75788320,width-1070,height-580,imgsize-542487,overlay-economictimes/photo.jpg",-0.19074074074074074,India brings down test swab price to one-tenth,https://economictimes.indiatimes.com/industry/healthcare/biotech/india-brings-down-corona-test-swab-price-to-one-tenth/articleshow/75788280.cms
policies,Mumbai,india,"A vast majority (71 per cent) of Indians either agree or strongly agree that the relief package will lead to economic recovery, the study by global market research and data company YouGov said.","https://img.etimg.com/thumb/msid-76072459,width-1070,height-580,imgsize-105813,overlay-economictimes/photo.jpg",0.15833333333333333,71% Indians think government's stimulus package will lead to economic recovery: Study,https://economictimes.indiatimes.com/news/economy/policy/71-indians-think-governments-stimulus-package-will-lead-to-economic-recovery-study/articleshow/76072362.cms
policies,Mumbai,india,The bears ruled the market as losers were more than three times the number of gainers on BSE.,"https://img.etimg.com/thumb/msid-75805418,width-1070,height-580,imgsize-441129,overlay-etmarkets/photo.jpg",0.15,"Sensex plunges 1,069 as FM's stimulus package disappoints; banks bleed",https://economictimes.indiatimes.com/markets/stocks/news/sensex-plunges-1069-as-fms-stimulus-package-disappoints-banks-bleed/articleshow/75805387.cms
policies,Mumbai,india,"The Shopping Centres Association of India (SCAI) has said that over the last two months, the organised retail industry has suffered losses of over Rs 90,000 crore and large-scale unemployment is a real possibility in the absence of financial relief and govern…","https://img.etimg.com/thumb/msid-75961241,width-1070,height-580,imgsize-839311,overlay-economictimes/photo.jpg",0.046875,"Malls, shopping centres seek assistance from government, lenders to overcome corona crisis",https://economictimes.indiatimes.com/industry/services/retail/malls-shopping-centres-seek-assistance-from-govt-fis/articleshow/75954570.cms
policies,Mumbai,india,"“The pain has brought us all together. Real estate has been facing multiple problems and now the current crisis of Covid-19 has added further pressure. Earlier, we were communicating differently with the government and that was not the right way,” said Harris…","https://img.etimg.com/thumb/msid-76301428,width-1070,height-580,imgsize-447429,overlay-economictimes/photo.jpg",0.0,"Realtors’ associations join hands to raise issues, seek relief from government",https://economictimes.indiatimes.com/industry/services/property-/-cstruction/realtors-associations-join-hands-to-raise-issues-seek-relief-from-government/articleshow/76301421.cms
policies,Mumbai,india,"In April alone, the revenue of the entire industry had shrunk to Rs 34 crore, from Rs 198 crore in April 2019. Compared to a profit before tax of Rs 18 crore in April 2019, the industry as a whole suffered a loss (before tax) of Rs 104 crore.","https://img.etimg.com/thumb/msid-75838000,width-1070,height-580,imgsize-40856,overlay-economictimes/photo.jpg",0.0,Radio industry seeks Rs 300 crore for survival,https://economictimes.indiatimes.com/industry/media/entertainment/media/radio-industry-seeks-rs-300-crore-for-survival/articleshow/75837916.cms
policies,Mumbai,india,Here are the key factors that may guide the market in the week ahead.,"https://img.etimg.com/thumb/msid-75784249,width-1070,height-580,imgsize-51872,overlay-etmarkets/photo.jpg",0.0,"Lockdown rules, Q4 earnings among 6 factors that may drive D-Street this week",https://economictimes.indiatimes.com/markets/stocks/news/lockdown-rules-q4-earnings-among-6-factors-that-may-drive-d-street-this-week/articleshow/75784254.cms
policies,Mumbai,india,"In the backdrop of Covid-19 related job losses and salary cuts, homebuyers are already stressed financially and the government hasn’t provided any relief in their instalments for the period of extensions granted to builders, according to FPCE.","https://img.etimg.com/thumb/msid-76252423,width-1070,height-580,imgsize-404619,overlay-economictimes/photo.jpg",0.0,Homebuyers approach PM Modi for relief from interest burden,https://economictimes.indiatimes.com/industry/services/property-/-cstruction/homebuyers-approach-pm-modi-for-relief-from-interest-burden/articleshow/76251012.cms
policies,Mumbai,india,"With companies operating with limited workforce due to the coronavirus pandemic, and several of these due dates on compliance soon set to lapse, many players were staring at missed deadlines. “Keeping in view the present situation it has been decided to exten…","https://img.etimg.com/thumb/msid-76197736,width-1070,height-580,imgsize-69292,overlay-economictimes/photo.jpg",0.03571428571428572,RBI allows relaxation to payment operators on various compliance deadlines,https://economictimes.indiatimes.com/industry/banking/finance/banking/rbi-allows-relaxation-to-payment-operators-on-various-compliance-deadlines/articleshow/76197609.cms
crime,Mumbai,india,Harsh Goenka's special tribute to corona warriorsThe artwork is painted by Sameer Kulavoor and curated by interior designer Elsie Nanji.,"https://img.etimg.com/thumb/msid-76000997,width-1070,height-580,imgsize-1047207,overlay-etpanache/photo.jpg",0.07857142857142857,Harsh Goenka's special tribute to corona warriors,https://economictimes.indiatimes.com/magazines/panache/mumbai-rpg-house-gets-wallofgratitude-harsh-goenka-pays-special-tribute-to-corona-warriors/articleshow/76000217.cms
crime,Mumbai,india,"The chairman of infrastructure conglomerate Adani Group also said it was an opportune time to make a bet on India as it will be one of the world's top consumption centres, manufacturing and service hubs and a beacon of stable democratic governance.","https://img.etimg.com/thumb/msid-76189837,width-1070,height-580,imgsize-319310,overlay-economictimes/photo.jpg",0.5,India could've faced unmitigated disaster had govt not taken timely action on Covid-19: Gautam Adani,https://economictimes.indiatimes.com/news/politics-and-nation/india-couldve-faced-unmitigated-disaster-had-govt-not-taken-timely-action-on-covid-19-gautam-adani/articleshow/76189797.cms
crime,Mumbai,india,"However, companies will adopt lower advertising spends and benefit from lower input prices.","https://img.etimg.com/thumb/msid-76157711,width-1070,height-580,imgsize-196801,overlay-etmarkets/photo.jpg",0.0,FMCG companies' revenue to contract by 3%: Crisil,https://economictimes.indiatimes.com/markets/stocks/earnings/fmcg-companies-revenue-to-contract-by-3-in-fy21-crisil/articleshow/76157752.cms
crime,Mumbai,india,"Who wants to buy a car in a pandemic?Who wants to buy a car in a pandemic? With deserted showrooms, no buyers and a shattered economy, thousands of auto dealers have to grapple with a new reality.","https://img.etimg.com/thumb/msid-75840732,width-1070,height-580,imgsize-701114,overlay-etrise/photo.jpg",0.2,Who wants to buy a car in a pandemic?,https://economictimes.indiatimes.com/small-biz/sme-sector/for-covid-19-battered-auto-dealers-the-worst-may-be-yet-to-come/articleshow/75840728.cms
crime,Mumbai,india,"Mumbai: Dharavi reports 36 COVID-19 positive cases on Thursday  Mumbai Mirror

Mumbai's Dharavi Reports 36 Fresh Covid-19 Cases, Taking the Total to 1,675  News18

ICMR puts Mumbai on list of cities to undergo blood surveillance to c…","https://static.toiimg.com/photo/imgsize-88754,msid-76072713/76072713.jpg",0.17575757575757575,Mumbai: Dharavi reports 36 COVID-19 positive cases on Thursday - Mumbai Mirror,https://mumbaimirror.indiatimes.com/coronavirus/news/mumbai-dharavi-reports-36-covid-19-positive-cases-on-thursday/articleshow/76072402.cms
crime,Mumbai,india,"First batch of 5 Companies of CAPF arrive in Mumbai; deployment from Tuesday  Mumbai Mirror

Maharashtra, Mumbai Lockdown 4.0 Guidelines: Uber, flights, restaurants, malls not allowed; home delivery...  Firstpost

Mumbai Police: 55 n…","https://static.toiimg.com/photo/imgsize-2187579,msid-75805299/75805299.jpg",0.0,First batch of 5 Companies of CAPF arrive in Mumbai; deployment from Tuesday - Mumbai Mirror,https://mumbaimirror.indiatimes.com/coronavirus/news/first-batch-of-5-companies-of-capf-arrive-in-mumbai-deployment-from-tomorrow/articleshow/75805336.cms
crime,Mumbai,india,"Sonu ‘Saviour’ Sood: Moga boy is India’s heroSood and restaurateur Neeti Goel have sent around 20,000 people home by buses, trains and even flights.","https://img.etimg.com/thumb/msid-76237877,width-1070,height-580,imgsize-273141,overlay-etpanache/photo.jpg",0.0,Sonu ‘Saviour’ Sood: Moga boy is India’s hero,https://economictimes.indiatimes.com/magazines/panache/how-actor-sonu-sood-emerged-as-the-real-life-hero-for-thousands-of-migrants-in-indias-lockdown/articleshow/76237531.cms
crime,Mumbai,india,"In history, it'll be the story of marching migrantsWhen history gets written about this very challenging period, it will be the story of our marching millions — those workers who left with nothing but faith in their hearts, to reunite with their families back…","https://img.etimg.com/thumb/msid-75935848,width-1070,height-580,imgsize-844629,overlay-economictimes/photo.jpg",0.325,"In history, it'll be the story of marching migrants",https://economictimes.indiatimes.com/news/politics-and-nation/view-when-history-is-written-it-will-be-the-story-of-our-marching-millions/articleshow/75935815.cms
crime,Mumbai,india,"'Value investing has become less relevant in last 5 years'The Demonetisation of 2016, the GST of 2017, the collapse of IL&FS of 2018 and the continued support by the political class of the real estate sector has led to a sharp slowdown in the Indian economy a…","https://img.etimg.com/thumb/msid-76398093,width-1070,height-580,imgsize-146101,overlay-etwealthmutualfunds/photo.jpg",0.051388888888888894,'Value investing has become less relevant in last 5 years',https://economictimes.indiatimes.com/mf/analysis/over-past-5-years-value-investing-has-become-less-relevant-says-ajit-dayal/articleshow/76398015.cms
crime,Mumbai,india,India News: MUMBAI: Ninety-one police personnel in Maharashtra have been reported Covid-19 positive in the last 24 hours.,"https://static.toiimg.com/thumb/msid-76117825,width-1070,height-580,imgsize-53487,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",0.11363636363636363,91 police personnel test positive in last 24 hrs: Maharashtra Police,https://timesofindia.indiatimes.com/india/91-police-personnel-test-positive-in-last-24-hrs-maharashtra-police/articleshow/76117815.cms
